id,booking_status_pred,Probability
42100,0,0.09657136
42101,0,0.01956671
42102,0,0.372337
42103,0,0.16094609
42104,1,0.53121346
42105,1,0.6687283
42106,1,0.53045166
42107,1,0.7156998
42108,0,1.4923874e-08
42109,1,0.557634
42110,1,0.67705774
42111,0,0.21869844
42112,0,0.4025894
42113,0,0.18383834
42114,0,0.31319603
42115,1,0.7350073
42116,0,0.05530505
42117,0,0.180026
42118,1,0.9174923
42119,1,0.89615524
42120,1,0.9071268
42121,0,0.17594212
42122,0,0.0041250736
42123,1,0.7300042
42124,1,0.8980088
42125,0,0.0046921754
42126,0,1.9381413e-27
42127,0,0.0045325803
42128,0,0.09762341
42129,1,0.6930748
42130,1,0.8243908
42131,0,0.24072994
42132,0,0.44428578
42133,1,0.95870304
42134,0,0.45236227
42135,0,1.2383601e-13
42136,0,0.034163855
42137,0,0.38304538
42138,1,0.6590376
42139,1,0.8312043
42140,0,0.00055430556
42141,0,0.2605888
42142,1,0.55790925
42143,1,0.8746807
42144,0,0.08337836
42145,1,0.8027871
42146,0,0.045401275
42147,1,0.84923345
42148,1,0.6889943
42149,0,0.48561555
42150,0,0.33850637
42151,1,0.7791726
42152,1,0.69841766
42153,0,0.14728193
42154,1,0.5801677
42155,0,0.44020635
42156,0,0.23418064
42157,0,0.014472139
42158,0,0.30664805
42159,1,0.7790791
42160,1,0.5995187
42161,0,7.93797e-06
42162,0,0.045273226
42163,0,0.025954608
42164,1,0.7917906
42165,1,0.55367965
42166,1,0.78089315
42167,0,1.0522465e-09
42168,1,0.6883202
42169,1,0.60378087
42170,0,0.020099241
42171,0,0.338183
42172,0,0.18841062
42173,1,0.8294541
42174,0,0.086544774
42175,0,0.31886774
42176,1,0.9151269
42177,0,0.23095484
42178,0,0.012556722
42179,1,0.90590274
42180,1,0.5754269
42181,1,0.63432443
42182,1,0.69858056
42183,0,0.34494528
42184,0,0.03299732
42185,0,0.13124917
42186,0,0.16224308
42187,0,0.40736145
42188,0,0.005939988
42189,0,0.17126407
42190,0,0.13118373
42191,0,0.15959418
42192,0,0.26316574
42193,0,0.20182814
42194,0,0.2853294
42195,1,0.9012992
42196,1,0.81740904
42197,0,0.43693686
42198,1,0.68829834
42199,1,0.5375448
42200,1,0.53605765
42201,1,0.53376114
42202,0,0.4368147
42203,0,0.26688892
42204,1,0.7983181
42205,0,0.22950004
42206,0,0.0031853393
42207,1,0.68475556
42208,0,0.06940983
42209,0,0.20413707
42210,0,0.13269313
42211,0,0.22958297
42212,0,0.218239
42213,1,0.85668945
42214,1,0.76008415
42215,0,0.24587426
42216,1,0.7698709
42217,0,0.10852453
42218,0,0.016919443
42219,0,0.16948761
42220,0,0.33748698
42221,1,0.593496
42222,1,0.54785836
42223,0,0.1747833
42224,1,0.9493193
42225,1,0.6617886
42226,1,0.8802541
42227,0,0.04713114
42228,1,0.7620903
42229,0,0.08854995
42230,0,0.27277297
42231,1,0.7385609
42232,1,0.8115034
42233,0,0.05846869
42234,0,0.4888091
42235,0,0.08486345
42236,0,0.043440912
42237,1,0.80895346
42238,0,0.3778586
42239,0,0.21986549
42240,1,0.9298254
42241,1,0.73373026
42242,0,0.13989398
42243,1,0.9247059
42244,0,0.19069208
42245,1,0.6737216
42246,1,0.9190025
42247,1,0.69953
42248,1,0.5865857
42249,1,0.8796723
42250,0,0.42895415
42251,0,0.27944145
42252,1,0.7810236
42253,1,0.6746812
42254,0,0.04203996
42255,0,0.08830606
42256,1,0.7115417
42257,1,0.73490286
42258,0,0.31823745
42259,1,0.70633745
42260,1,0.77019733
42261,1,0.7704477
42262,1,0.8812421
42263,1,0.956518
42264,0,0.11733144
42265,1,0.763569
42266,0,0.028294299
42267,0,0.19542286
42268,1,0.67769647
42269,0,0.05912458
42270,1,0.88654256
42271,1,0.7321511
42272,0,0.09684627
42273,0,0.1009256
42274,1,0.7493448
42275,0,0.40033874
42276,0,0.08453323
42277,0,0.090499915
42278,0,0.03028022
42279,0,0.3007508
42280,0,0.39708254
42281,0,0.0022182073
42282,0,0.35668927
42283,0,0.1416519
42284,1,0.54516345
42285,0,0.04046581
42286,0,0.014953896
42287,1,0.6872244
42288,0,0.42014152
42289,1,0.80740964
42290,0,0.012639895
42291,1,0.82875746
42292,0,0.16866626
42293,1,0.80383515
42294,1,0.95175165
42295,0,0.15793048
42296,0,0.093425
42297,0,0.31196192
42298,0,0.064824656
42299,1,0.8304967
42300,0,0.42528975
42301,0,0.2585241
42302,0,0.13844323
42303,0,0.25355318
42304,0,0.13808645
42305,0,0.26496568
42306,0,0.26974985
42307,0,0.08162525
42308,0,0.114652246
42309,0,0.20367919
42310,0,0.30532897
42311,1,0.73338187
42312,0,0.117754385
42313,1,0.7580078
42314,1,0.7430631
42315,0,0.18696268
42316,1,0.69742346
42317,0,0.22889218
42318,0,0.43279853
42319,0,0.014178783
42320,0,0.35741445
42321,0,0.3641875
42322,1,0.8568618
42323,0,0.009067382
42324,1,0.6937642
42325,0,0.04273466
42326,0,0.4506134
42327,0,0.021331318
42328,0,0.11826312
42329,0,0.16157834
42330,1,0.754083
42331,0,0.30943868
42332,0,0.25330967
42333,1,0.7223828
42334,0,0.012297155
42335,1,0.744956
42336,0,0.06426885
42337,1,0.6426255
42338,0,0.29395914
42339,0,0.0018521247
42340,0,0.13971294
42341,1,0.67620224
42342,1,0.8922123
42343,0,0.4239623
42344,0,0.379633
42345,0,0.019734677
42346,1,0.9624358
42347,1,0.8038926
42348,1,0.8329925
42349,0,0.050981596
42350,0,0.34275055
42351,0,0.060405374
42352,1,0.6490426
42353,1,0.7689673
42354,0,0.1443833
42355,0,0.2046292
42356,0,0.37358296
42357,0,0.00032028087
42358,1,0.81430244
42359,0,0.10016156
42360,1,0.6945641
42361,0,0.14750628
42362,1,0.763913
42363,0,0.1422721
42364,0,0.37261885
42365,0,0.20016938
42366,0,0.14470707
42367,1,0.7208185
42368,0,0.47065565
42369,1,0.8033302
42370,0,0.41228008
42371,0,0.044698212
42372,0,0.1997835
42373,1,0.9273134
42374,1,0.6148857
42375,1,0.5111322
42376,0,0.03625639
42377,1,0.94036824
42378,1,0.58781475
42379,0,0.2387129
42380,0,0.0108799515
42381,0,0.4985991
42382,1,0.57657397
42383,1,0.9254032
42384,0,0.19863088
42385,0,0.0019418021
42386,1,0.73839444
42387,1,0.6823654
42388,0,0.047115244
42389,0,0.0051512206
42390,1,0.83658314
42391,0,0.15858158
42392,0,0.049070757
42393,0,0.11099573
42394,0,0.32843834
42395,1,0.5702941
42396,0,0.22648431
42397,1,0.9355891
42398,0,0.068924844
42399,1,0.7768858
42400,0,0.34803912
42401,0,0.19203751
42402,1,0.7497511
42403,1,0.6023161
42404,0,0.3274054
42405,0,0.30402434
42406,0,0.34356198
42407,0,0.10339406
42408,0,0.13662036
42409,0,0.24586083
42410,1,0.6968036
42411,0,1.0910902e-11
42412,1,0.91744936
42413,1,0.77931815
42414,1,0.7511345
42415,0,0.27370965
42416,1,0.8731187
42417,0,0.17059298
42418,1,0.513319
42419,0,0.26672465
42420,0,0.10966915
42421,0,0.061816644
42422,0,0.42276034
42423,0,0.49565005
42424,1,0.84796363
42425,0,0.37879533
42426,0,0.24480908
42427,0,0.061734553
42428,0,0.21331553
42429,1,0.93034714
42430,0,0.24940136
42431,1,0.6984928
42432,1,0.90269375
42433,0,0.11618053
42434,0,1.0075132e-05
42435,0,0.090578325
42436,0,0.343756
42437,0,0.1566086
42438,0,0.27553597
42439,1,0.9283719
42440,0,0.1894809
42441,1,0.9206174
42442,0,0.121557705
42443,0,0.19605175
42444,0,0.04778857
42445,0,0.08515394
42446,1,0.76998985
42447,0,0.09447532
42448,0,0.041115064
42449,0,0.18788324
42450,0,0.2857441
42451,0,0.20602922
42452,0,0.016367298
42453,0,0.26195687
42454,0,0.18576378
42455,0,0.3243039
42456,0,0.33292797
42457,0,0.018521082
42458,0,0.24215847
42459,0,0.41902602
42460,1,0.71370727
42461,0,0.08890993
42462,1,0.56314796
42463,0,0.1827888
42464,1,0.84072834
42465,0,0.16590075
42466,1,0.7194766
42467,0,0.3863506
42468,0,0.26845428
42469,0,0.10225975
42470,0,0.15792727
42471,0,0.43668047
42472,0,0.42025813
42473,0,0.06693852
42474,0,0.29077828
42475,0,0.06219951
42476,0,0.000549001
42477,0,0.38585356
42478,1,0.8102498
42479,1,0.78807306
42480,0,0.0027510172
42481,0,0.16327412
42482,0,0.044001136
42483,0,0.3794409
42484,0,0.29997623
42485,0,0.063868925
42486,1,0.7834261
42487,1,0.57944757
42488,0,0.00012335081
42489,0,0.16693984
42490,0,0.056018192
42491,1,0.6275022
42492,0,0.41799077
42493,0,0.15702558
42494,0,0.20163545
42495,0,0.35830146
42496,0,0.3279049
42497,0,0.00318234
42498,0,0.06380756
42499,0,0.07124307
42500,0,0.11091697
42501,0,0.33097854
42502,1,0.6615454
42503,1,0.86042035
42504,0,0.052701153
42505,0,3.510164e-08
42506,1,0.535026
42507,0,0.0052465335
42508,0,0.14880519
42509,0,0.14123918
42510,1,0.6087048
42511,0,0.37269777
42512,0,0.21049233
42513,0,0.006549366
42514,0,0.015157391
42515,0,0.48619518
42516,0,0.44052252
42517,1,0.6021388
42518,1,0.8149518
42519,0,0.36360183
42520,1,0.5711775
42521,0,0.014984454
42522,0,0.24228586
42523,0,0.23470928
42524,0,0.3969643
42525,1,0.803689
